"id","novel_id","user_id","review_title","review_text","created_at","updated_at"
"1","1","1","自然との調和","賢治は自然を愛し、その美しさを詩に込めています。作品を通じて、自然との調和が強調され、読者は心の平穏を感じることができます。","2024-09-20 12:51:45","2024-09-20 12:51:45"
"2","2","1","コーヒー五千円！！？","昭和28年は一円、令和でも帝国ホテルで二千五百円。いまだ届かず","2024-09-20 12:57:36","2024-09-20 12:57:36"
"3","3","1","桜が美しすぎて","疑いたくなる気持ち。わかる。","2024-09-20 13:25:57","2024-09-20 13:25:57"
"4","4","1","主犯《しゅはん》蟹は死刑","臼、蜂、卵等の共犯は無期徒刑の宣告","2024-09-20 13:37:26","2024-09-20 13:37:26"
"5","1","2","人間の強さと弱さ","テーマ: 「雨ニモマケズ」は、自己犠牲や希望、そして人間の強さと弱さを描いています。これにより、読者は自分自身の生き方を見つめ直すきっかけを得ることができます。","2024-09-20 13:45:05","2024-09-20 13:45:05"
"6","2","2","上海のコーヒー","飲んでみたいですね","2024-09-20 13:46:37","2024-09-20 13:46:37"
"7","3","2","文章表現がただただ美しい。","たとえおぞましいものを書こうと、美しすぎて、春の浮かれた、花の香り、頭に靄がかかって、ほろよいで歩くような、そんな心地を味わえる。","2024-09-20 13:54:34","2024-09-20 13:54:34"
"8","4","2","知られざる猿蟹合戦の後日談","裁判が行われてたなんて、知らなかった。","2024-09-20 13:57:52","2024-09-20 13:57:52"
"9","1","3","深い哲学的なメッセージ","存在意義の探求: 作品は人間の存在意義や生きる意味について考えさせられる内容で、読むたびに新たな発見があります。賢治の言葉は、時代を超えて多くの人々に影響を与えています。","2024-09-20 14:31:54","2024-09-20 14:31:54"
"10","2","3","インフレ","こわい","2024-09-20 14:36:01","2024-09-20 14:36:01"
"11","3","3","春はいいよね","あったかくて","2024-09-20 14:37:42","2024-09-20 14:37:42"
"12","4","3","途中まで","ギャグ漫画日和を読んでいるのかと錯覚したけど、最後に芥川が殴りかかってきて正気に戻った","2024-09-20 14:38:51","2024-09-20 14:38:51"
